"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","signal_umis","dataset"
"147",1459999627.47767,1202493221.17588,350176860.088109,349658081.5552,350696408.319133,170101911,"tenx_nextgem"
"148",1469999624.92615,1210729476.11544,351004172.008647,350474439.776899,351534704.915723,170503786,"tenx_nextgem"
"149",1479999622.37462,1218965731.055,351824903.984108,351284040.902296,352366599.819017,170902465,"tenx_nextgem"
"150",1489999619.8231,1227201985.99456,352639142.610734,352086971.207629,353192179.97391,171297989,"tenx_nextgem"
"151",1499999617.27158,1235438240.93412,353446735.639481,352883078.157663,354011293.447149,171690286,"tenx_nextgem"
"152",1509999614.72006,1243674495.87368,354247420.067714,353672098.495897,354823677.520287,172079226,"tenx_nextgem"
"153",1519999612.16853,1251910750.81325,355041324.305402,354454160.409891,355629460.855431,172464873,"tenx_nextgem"
"154",1529999609.61701,1260147005.75281,355829230.170026,355230045.524844,356429425.490525,172847606,"tenx_nextgem"
"155",1539999607.06549,1268383260.69237,356611772.724004,356000388.741223,357224206.678601,173227734,"tenx_nextgem"
"156",1549999604.51396,1276619515.63193,357388304.635282,356764542.596589,358013157.250628,173604942,"tenx_nextgem"
"157",1559999601.96244,1284855770.57149,358158502.012781,357522183.098041,358795953.449586,173979073,"tenx_nextgem"
"158",1569999599.41092,1293092025.51105,358922793.792656,358273739.10691,359573024.316705,174350336,"tenx_nextgem"
"159",1579999596.8594,1301328280.45061,359681285.479472,359019316.081315,360344475.434475,174718781,"tenx_nextgem"
"160",1589999594.30787,1309564535.39017,360434049.358905,359758986.287215,361110379.140166,175084443,"tenx_nextgem"
"161",1599999591.75635,1317800790.32973,361181156.459841,360492820.760289,361870806.488022,175447358,"tenx_nextgem"
"162",1609999589.20483,1326037045.26929,361922728.687519,361220941.43806,362625879.383244,175807584,"tenx_nextgem"
"163",1619999586.65331,1334273300.20885,362659324.362312,361943906.697497,363376156.120377,176165393,"tenx_nextgem"
"164",1629999584.10178,1342509555.14841,363390913.421396,362661686.557616,364121606.587899,176520770,"tenx_nextgem"
"165",1639999581.55026,1350745810.08798,364119181.531996,363375966.787996,364863916.376955,176874533,"tenx_nextgem"
"166",1649999578.99874,1358982065.02754,364842598.357221,364085217.183792,365601555.058068,177225940,"tenx_nextgem"
